videoname,original_width,original_height,label,original
aznyksihgl.jpg,129,129,FAKE,xnojggkrxt.mp4
gkwmalrvcj.jpg,129,129,FAKE,hqqmtxvbjj.mp4
lxnqzocgaq.jpg,223,217,FAKE,xjzkfqddyk.mp4
itsbtrrelv.jpg,186,186,FAKE,kqvepwqxfe.mp4
ddvgrczjno.jpg,155,155,FAKE,pluadmqqta.mp4
gaffodreks.jpg,223,223,FAKE,vwtztxpljw.mp4
adovxmilsk.jpg,90,89,FAKE,cqkarxqzxx.mp4
lldtrmyzbe.jpg,108,107,FAKE,yeqqlbhgze.mp4
sjgbiywngj.jpg,185,186,FAKE,dbjmhpklbv.mp4
rumyjhyayo.jpg,89,90,FAKE,yhwkxfpoio.mp4
ycxhekspak.jpg,267,267,FAKE,cgheccdlif.mp4
mlilusapoq.jpg,155,155,FAKE,uonwfowmfa.mp4
uywczsqzcs.jpg,107,107,FAKE,fanejhouma.mp4
lpjusdgyqv.jpg,129,129,FAKE,sotclwmskg.mp4
ilxtrejpxr.jpg,186,186,FAKE,nryzsuekri.mp4
qnyhkzylfn.jpg,129,129,FAKE,pmriwtbcmn.mp4
rghpjsecso.jpg,129,129,FAKE,kaebqtyefo.mp4
mcehvkoidm.jpg,186,185,REAL,
vjyvrugkoe.jpg,186,186,FAKE,rbhecseopz.mp4
jtiideprrg.jpg,185,185,FAKE,yvyugtnzvk.mp4
tykqnrffer.jpg,155,154,FAKE,lamycblfft.mp4
ierqhmpksk.jpg,223,223,FAKE,bdwpyrudti.mp4
dvyixgckvo.jpg,89,90,FAKE,gleoswxbhs.mp4
tzhcjdvaoi.jpg,186,186,FAKE,kpboyfgsii.mp4
dxurmhqxwy.jpg,129,129,FAKE,cxazqtfzta.mp4
nckwwfdpyr.jpg,155,155,FAKE,voqndnufbf.mp4
wzrybcopcd.jpg,223,223,REAL,
qolmlyecjj.jpg,186,185,FAKE,lipwxxllue.mp4
saapkivgiu.jpg,223,223,FAKE,qbxtgiikpc.mp4
ftwkdcwsvc.jpg,74,75,FAKE,jgvqoasjoi.mp4
tvrwjmjeyn.jpg,107,107,REAL,
dznofrvkfp.jpg,223,223,FAKE,nmlovqouaz.mp4
mcvjroxtlf.jpg,267,268,FAKE,evirwnkqms.mp4
lyjorijwdt.jpg,129,129,FAKE,wfnjmnhmax.mp4
xcrjchjjzn.jpg,108,107,FAKE,clkxgilfnl.mp4
glqriykjsl.jpg,129,129,FAKE,blbvdywnbk.mp4
ovkjlyfjcd.jpg,268,267,FAKE,xxnoxvcpxz.mp4
sofdiunesb.jpg,108,108,FAKE,csmezlywcs.mp4
xvzgnwwajx.jpg,185,186,FAKE,knnbozikey.mp4
sdstjytlpe.jpg,186,186,FAKE,gcnjwgjzae.mp4
bdrvacwwat.jpg,129,129,FAKE,zigodhdawk.mp4
koayhruklm.jpg,185,185,FAKE,boobpetndu.mp4
klqcaxcwej.jpg,223,223,FAKE,cjiwsviedd.mp4
lshgrpfbts.jpg,129,129,FAKE,cosdfmtfwa.mp4
gsnvswjkxm.jpg,185,186,FAKE,qkwkiaxbfx.mp4
qckawgxxme.jpg,108,107,FAKE,ouazajlgtk.mp4
lmwsdpnvos.jpg,108,107,FAKE,wrcuqngerf.mp4
gnrbhysdok.jpg,186,186,REAL,
zotoexpcot.jpg,129,129,FAKE,tglgtnseox.mp4
xsrdbogsuu.jpg,223,223,FAKE,phamutsikb.mp4
gdyuqzmlpu.jpg,185,185,FAKE,ozhhaoydlq.mp4
tceixzheic.jpg,268,267,FAKE,lrurnzbpwh.mp4
cwoiryhauz.jpg,186,186,FAKE,dazcqddmah.mp4
yuephcvqzq.jpg,223,223,FAKE,knxltsvzyu.mp4
rpjkhmpdfw.jpg,129,129,FAKE,rdoqqakjfs.mp4
omsrabdtnu.jpg,154,155,FAKE,lrdmpqabxj.mp4
xccslnqwdk.jpg,155,154,FAKE,dvcslzbvnm.mp4
yotsfuryir.jpg,155,155,FAKE,dvwpvqdflx.mp4
eolhmkhbzw.jpg,222,223,FAKE,wbljssjgnp.mp4
gatycdcrtz.jpg,155,154,FAKE,aqfjgahafl.mp4
cfsfbdykgk.jpg,107,107,FAKE,cxjumzfmqd.mp4
sdomnorhme.jpg,155,155,FAKE,sezddfsbzd.mp4
rrduwkwpsi.jpg,223,223,FAKE,acubjjdopy.mp4
pdupvpsldz.jpg,223,223,FAKE,yiafckaqsb.mp4
enxqnminak.jpg,223,223,FAKE,utfamtxcne.mp4
yaejzsepky.jpg,223,223,FAKE,xkeiiwdbrh.mp4
cgrqqpzjzd.jpg,223,223,FAKE,gncpxzkcca.mp4
hpypqkybny.jpg,89,90,FAKE,vvxpvxptlw.mp4
gzmsocbmkz.jpg,107,107,REAL,
ockfqfgwmm.jpg,90,90,FAKE,sayyjwtjol.mp4
jusvaqqpde.jpg,186,185,FAKE,lqulpaourj.mp4
vsmadeuczx.jpg,186,186,FAKE,qarqtkvgby.mp4
hhxzvnfdij.jpg,74,74,REAL,
tikokrtwmx.jpg,90,89,FAKE,naehlpvyth.mp4
tvtccmqnoy.jpg,108,107,FAKE,qkcgzogaco.mp4
skyyaicwfb.jpg,51,52,FAKE,zkdexfqvyz.mp4
zdzgsbqzml.jpg,89,89,REAL,
sdvumeekom.jpg,186,185,FAKE,fitdcyepci.mp4
kkmvzuzeiy.jpg,185,185,FAKE,opqeorqknk.mp4
osaesqnzgw.jpg,321,321,FAKE,sttnfyptum.mp4
awyzsmccyp.jpg,223,223,FAKE,ettmoluwyi.mp4
xotjbxkxyf.jpg,129,129,REAL,
iuwcaynult.jpg,107,107,FAKE,gabrzovxka.mp4
fgydlejwbw.jpg,185,186,FAKE,znsxeanewc.mp4
oorgkmeyop.jpg,90,89,FAKE,uwbhcogubo.mp4
pgkgnnxdgf.jpg,186,186,REAL,
txlbaahrjw.jpg,223,223,FAKE,ygpgdfamrd.mp4
wrykrkydga.jpg,155,155,FAKE,smxhvrjiqk.mp4
itpezzyjji.jpg,129,129,REAL,
wicrqroazr.jpg,267,268,FAKE,kjtatqmrnu.mp4
ghikdlhgxy.jpg,223,222,FAKE,vasffzldui.mp4
huwfwwjxyz.jpg,108,107,FAKE,mxrnlrylrq.mp4
gniidtmqst.jpg,108,107,FAKE,nzulxsqtrh.mp4
eirqkmkeaz.jpg,186,185,REAL,
dywdrkkyvy.jpg,90,90,FAKE,eirwennutv.mp4
iwwlgekywx.jpg,129,129,FAKE,nslssdugqw.mp4
bztifpciva.jpg,75,75,FAKE,leoicyngqc.mp4
gnhowvgdvg.jpg,90,89,FAKE,yraoqjfcmr.mp4
cghklgzlau.jpg,90,89,FAKE,uarkueisee.mp4
lpstxxumpp.jpg,186,186,FAKE,dnocqlgupe.mp4
chtgkrlbek.jpg,186,185,FAKE,dmtjqgbezd.mp4
fpbcmfberh.jpg,129,129,FAKE,wqdsarmger.mp4
xfdywwiqdh.jpg,129,129,FAKE,biolbvjlzx.mp4
hopnfebmck.jpg,268,267,FAKE,roricbxvev.mp4
bmljrhlhta.jpg,154,155,REAL,
vjtxndheoz.jpg,185,186,FAKE,tgdwqisubw.mp4
gspajggizf.jpg,267,268,FAKE,vlzgrroxoh.mp4
ppqnqmccck.jpg,223,222,REAL,
gzlatpceji.jpg,108,108,FAKE,ekipbfbtoo.mp4
wvlmhsbhhh.jpg,108,107,FAKE,izbbmenvrw.mp4
wehiwkddfu.jpg,129,129,REAL,
riciqhftax.jpg,154,155,FAKE,lxfrifiujz.mp4
wxjbdhaxcy.jpg,186,185,FAKE,sxjqylrnhr.mp4
xtxpokrqgz.jpg,223,223,FAKE,jciwjcyipa.mp4
dtkypvrrgo.jpg,186,185,FAKE,zfgdlmzecu.mp4
ekmdbjwyed.jpg,90,90,FAKE,qrrwhhhiqn.mp4
bleyyfdcaw.jpg,222,223,FAKE,vckdweltri.mp4
prfocjkspe.jpg,108,107,REAL,
xjynjwcohw.jpg,223,223,FAKE,iceyxwxjof.mp4
zgwbjjcozp.jpg,108,107,FAKE,agiddwueyy.mp4
rpqqaoqndc.jpg,90,90,FAKE,lmikisikew.mp4
wishixpbsg.jpg,186,185,FAKE,vuxfsebfrd.mp4
mlqziduhcx.jpg,90,89,FAKE,hkjnztvsmk.mp4
vzeingelww.jpg,186,186,REAL,
iysohojmyd.jpg,90,90,FAKE,udlipwvqdl.mp4
cyuruwsjim.jpg,268,268,REAL,
gpjnjxdgrg.jpg,223,223,FAKE,ehrihcwppi.mp4
vehvnfriqh.jpg,108,108,REAL,
xuwzwgmuvo.jpg,107,107,FAKE,cblcntsvln.mp4
wfqurpfpmy.jpg,223,223,FAKE,gpsxfxrjrr.mp4
ijuhwltjyu.jpg,107,107,FAKE,uvngwtikqt.mp4
wzxvvzbabw.jpg,186,185,FAKE,cflkdvzmms.mp4
olufivknxv.jpg,108,108,FAKE,dtfrslgpwj.mp4
lbbxkmfjqw.jpg,89,89,FAKE,dakiztgtnw.mp4
bflfstbixw.jpg,186,186,FAKE,ndgjxvbvxd.mp4
dygglqlujl.jpg,154,154,FAKE,eynxajczkd.mp4
vdsyclnzdy.jpg,107,108,FAKE,imgythodrm.mp4
wpoixknobj.jpg,90,90,FAKE,vfqwjagemf.mp4
tdzclcjfkn.jpg,185,186,FAKE,rnrqgfqodh.mp4
oggaudwerx.jpg,223,223,FAKE,thodjevvjy.mp4
wfdkhuappf.jpg,108,107,REAL,
ohmcrsaayi.jpg,223,223,FAKE,egdklvgpna.mp4
jjzvfvkqau.jpg,223,223,FAKE,qnifatwznk.mp4
rdgnjflypb.jpg,223,223,FAKE,sgjbakrrix.mp4
oqzxykgxqc.jpg,155,155,FAKE,mvmbdizipz.mp4
osjavbizqc.jpg,186,185,REAL,
fidfazmovh.jpg,223,223,FAKE,iczglouguh.mp4
gexppmrhxd.jpg,267,268,REAL,
pthbuiuswl.jpg,155,155,FAKE,exseruhiuk.mp4
uqbafobbzq.jpg,185,186,FAKE,quclbzlsvz.mp4
envgqunrmz.jpg,108,107,FAKE,vwhbaibyfr.mp4
mrtzwjfpke.jpg,129,129,FAKE,rgawxnijtz.mp4
szbwcfpktx.jpg,186,186,FAKE,vjekyrqcdq.mp4
plzmuenklb.jpg,185,185,REAL,
xvncdmcdlv.jpg,155,155,FAKE,eiyjrjgvih.mp4
hebddxiwci.jpg,223,223,FAKE,qeksmemriz.mp4
zkesyskywb.jpg,90,89,FAKE,dxggzrzcpf.mp4
zavlfnwvjr.jpg,155,155,FAKE,vldstovjwu.mp4
mqzcoujvfm.jpg,129,129,FAKE,pcokajmcog.mp4
qiowzezcuz.jpg,129,129,FAKE,ryhglxejac.mp4
lbbhppglec.jpg,185,186,FAKE,fpmgdktbyh.mp4
wxxoldznwe.jpg,268,267,FAKE,smevricgci.mp4
junzqfxzxj.jpg,89,89,FAKE,zmwriovmpy.mp4
wsanbrfwmg.jpg,185,185,FAKE,xyioxposka.mp4
rlzaurucfj.jpg,186,185,REAL,
ccluxkxxsk.jpg,129,129,FAKE,qmyxlogtye.mp4
wbhszejhxx.jpg,89,90,FAKE,ueqxiroiqn.mp4
zoladxjowi.jpg,89,90,FAKE,wgcrxowuzt.mp4
mbzybpgnfr.jpg,155,155,FAKE,itmwoyxbas.mp4
wlwhdybxah.jpg,223,223,FAKE,sowchioelh.mp4
riowiwhgil.jpg,129,129,FAKE,kerpokjmkf.mp4
ebritkxdkz.jpg,129,129,FAKE,luoptdxdkk.mp4
gpaztkgvkz.jpg,108,108,FAKE,yuwvoviras.mp4
lafsnrurnk.jpg,90,89,FAKE,oxytemldvt.mp4
lqzrztpmju.jpg,222,223,FAKE,coubxyuvrm.mp4
etodejdqoj.jpg,267,267,FAKE,seoomartef.mp4
bnoyahpspd.jpg,129,129,FAKE,hmrnzlidph.mp4
fbkygfkzyc.jpg,107,107,FAKE,pdvgvbeauu.mp4
tgzvujhqzk.jpg,186,186,FAKE,aepuluzrdy.mp4
lasrqldmon.jpg,223,223,FAKE,knjoasqzvt.mp4
xxgiskbcad.jpg,268,267,FAKE,plqabfpytl.mp4
rbwuopkhsx.jpg,185,185,FAKE,xqvzcbjhea.mp4
afjhgapojs.jpg,223,223,FAKE,qhsocnydkz.mp4
jygjnlgnqd.jpg,222,223,REAL,
ytayculvny.jpg,223,223,FAKE,bvnbkivoue.mp4
flkrcpcxzj.jpg,155,154,REAL,
kaozthjaxt.jpg,185,186,FAKE,knnbozikey.mp4
lhjcdavmmg.jpg,63,62,REAL,
jdxojmzvdn.jpg,186,186,REAL,
smwpthfdcd.jpg,129,129,FAKE,bogcoldwxa.mp4
bsbpkuphfu.jpg,108,107,FAKE,ghfsyhxlpe.mp4
syzrwrglkl.jpg,267,268,REAL,
mpygebmzos.jpg,108,107,FAKE,baxkmsihqv.mp4
wwozzfwflr.jpg,223,223,FAKE,gpzvmkrzgp.mp4
xarriwpiwq.jpg,89,90,FAKE,daoqwwqpcg.mp4
annkrurnzl.jpg,268,267,FAKE,kcwtihguek.mp4
djbwlpybbr.jpg,223,223,FAKE,ogwedmpojq.mp4
anodbxmpne.jpg,107,108,REAL,
hpdvnwiado.jpg,107,107,FAKE,ypvmdghkwu.mp4
mgmbvcbpmn.jpg,223,223,FAKE,qyofhfaazs.mp4
fqwtjskrec.jpg,107,107,FAKE,qkaaaapifk.mp4
rubhzlddup.jpg,108,108,FAKE,ctfvpczuea.mp4
dphpvmgpbp.jpg,223,223,FAKE,osepwkfuph.mp4
loopbqtccw.jpg,267,267,FAKE,ztfbntazck.mp4
qkdfluzasa.jpg,108,108,FAKE,ubydbjxdmr.mp4
vceglrzmit.jpg,223,223,FAKE,iksxzpqxzi.mp4
nacbccbdvf.jpg,268,267,FAKE,fbqjyxiwgc.mp4
ksfixouajv.jpg,155,155,FAKE,akmkangqbj.mp4
zrfimjnuuz.jpg,108,108,FAKE,idqxefeyno.mp4
jzirtjysqv.jpg,129,129,FAKE,wsphuogufg.mp4
jgtimrprjo.jpg,186,186,FAKE,zverzcapzv.mp4
niawpcjeaj.jpg,186,186,FAKE,akysuraini.mp4
hmpcuhrope.jpg,90,90,FAKE,mevczpibbs.mp4
ehubzcyblo.jpg,186,186,FAKE,lodpimmshz.mp4
hjxeekdmab.jpg,155,155,FAKE,qxmvgpsbpg.mp4
ysxikzbbfb.jpg,186,186,FAKE,vsbobpehed.mp4
uasondsxfr.jpg,186,186,FAKE,xuxhyuyroq.mp4
khksbzgaif.jpg,129,129,FAKE,rcuwuhsetm.mp4
xlkvtpsewc.jpg,267,267,FAKE,bugxrvvgxj.mp4
hhvcvjyrne.jpg,107,108,FAKE,bvbnqnfmed.mp4
hffircryfk.jpg,267,268,FAKE,pdrmddxfwb.mp4
mexwrnhhyo.jpg,154,155,FAKE,exxdugnweb.mp4
iwobeeggzu.jpg,267,268,FAKE,egzyxqihni.mp4
csxksuzkhm.jpg,267,267,FAKE,agcoyyzeju.mp4
tobjmvytry.jpg,107,108,FAKE,hpdnxefseu.mp4
